Group,Best_Combination,Max_Clipiqa,Max_Score_Sum,Similarity,Threshold
164736,final_v1_usm_1.2_enhance_False,0.878441,3.4574485800000003,0.569001,0.505
166006,final_v1_usm_1.0_enhance_False,0.810745,3.3682929699999997,0.580467,0.505
166008,final_v1_usm_1.0_enhance_False,0.873212,3.4474703800000004,0.704069,0.505
166115,final_v1_usm_0.1_enhance_False,0.850449,3.41427179,0.505228,0.505
166118,final_v1_usm_0.3_enhance_False,0.868772,3.42023746,0.576901,0.505
166463,final_v1_usm_0.1_enhance_False,0.878616,3.4307626300000003,0.587583,0.505
166722,final_v1_usm_1.0_enhance_False,0.878387,3.45922828,0.599053,0.505
166752,final_v1_usm_0.1_enhance_False,0.843821,3.38111433,0.736018,0.505
166786,final_v1_usm_1.0_enhance_False,0.864831,3.46465869,0.753316,0.505
166_Robert_De_Niro_00,final_v1_usm_0.3_enhance_False,0.919439,3.3375404599999996,0.703189,0.605
167043,final_v1_usm_1.2_enhance_False,0.876689,3.4434845800000002,0.586612,0.505
167213,final_v1_usm_1.0_enhance_False,0.922189,3.48002138,0.612268,0.505
167277,final_v1_usm_1.0_enhance_False,0.871272,3.4626864200000003,0.573484,0.505
167278,final_v1_usm_0.1_enhance_False,0.8579,3.3912960400000003,0.961051,0.505
167465,final_v1_usm_1.0_enhance_False,0.871997,3.45762751,0.667718,0.505
167730,final_v1_usm_0.1_enhance_False,0.883915,3.3739338300000004,0.668816,0.505
167_Madonna_00,final_v1_usm_1.0_enhance_False,0.859036,3.29170289,0.637066,0.605
168009,final_v1_usm_1.0_enhance_False,0.885979,3.4227982100000003,0.678764,0.505
168012,final_v1_usm_0.1_enhance_False,0.849954,3.36412383,0.616764,0.505
168081,final_v1_usm_1.0_enhance_False,0.866015,3.4191840000000004,0.727431,0.505
168591,final_v1_usm_1.0_enhance_False,0.915629,3.4448103700000003,0.722857,0.505
169093,final_v1_usm_1.0_enhance_False,0.90969,3.40389427,0.510176,0.505
169737,final_v1_usm_1.0_enhance_False,0.887592,3.46908378,0.627122,0.505
170212,final_v1_usm_0.7_enhance_False,0.873182,3.47535729,0.527895,0.505
170259,final_v1_usm_0.3_enhance_False,0.886489,3.44134585,0.697919,0.505
170337,final_v1_usm_1.0_enhance_False,0.899285,3.44510305,0.584247,0.505
170511,final_v1_usm_0.1_enhance_False,0.905651,3.41631443,0.736831,0.505
170658,final_v1_usm_0.1_enhance_False,0.871062,3.19988636,0.623424,0.505
170849,final_v1_usm_1.0_enhance_False,0.86964,3.4465346200000004,0.723669,0.505
171158,final_v1_usm_0.3_enhance_False,0.879709,3.37911069,0.692937,0.505
171220,final_v1_no_usm_enhance_False,0.878794,3.2666177100000002,0.535378,0.505
171429,final_v1_usm_1.0_enhance_False,0.902215,3.51314138,0.657683,0.505
171520,final_v1_usm_1.0_enhance_False,0.882327,3.4550688299999996,0.584189,0.505
171538,final_v1_usm_0.3_enhance_False,0.899711,3.43142905,0.837966,0.505
171_Frida_Kahlo_00,final_v1_usm_0.1_enhance_False,0.930725,3.383349,0.627041,0.605
172003,final_v1_usm_0.1_enhance_False,0.873936,3.38557545,0.640926,0.505
172027,final_v1_usm_1.0_enhance_False,0.86042,3.39968247,0.805235,0.505
172162,final_v1_usm_0.7_enhance_False,0.867896,3.30789508,0.6263,0.505
172199,final_v1_usm_1.0_enhance_False,0.911081,3.46436114,0.638377,0.505
172257,final_v1_usm_0.7_enhance_False,0.906541,3.38942791,0.589686,0.505
172310,final_v1_usm_0.7_enhance_False,0.846614,3.32267498,0.618829,0.505
172321,final_v1_usm_0.7_enhance_False,0.851376,3.3555277500000003,0.54702,0.505
172604,final_v1_usm_1.0_enhance_False,0.885255,3.50664344,0.724848,0.505
172913,final_v1_usm_1.0_enhance_False,0.864079,3.40068658,0.577902,0.505
172945,final_v1_usm_1.2_enhance_False,0.877326,3.41434409,0.64311,0.505
173106,final_v1_usm_0.3_enhance_False,0.870855,3.44731815,0.725376,0.505
173282,final_v1_usm_0.7_enhance_False,0.866833,3.4383354399999995,0.921865,0.505
173334,final_v1_usm_0.3_enhance_False,0.860078,3.39295494,0.701122,0.505
173416,final_v1_usm_1.0_enhance_False,0.870356,3.4169102700000002,0.827622,0.505
173786,final_v1_usm_1.2_enhance_False,0.876597,3.47049744,0.844806,0.505
173920,final_v1_usm_1.0_enhance_False,0.831745,3.3869296,0.952008,0.505
173994,final_v1_usm_0.1_enhance_False,0.849808,3.43771264,0.853968,0.505
174037,final_v1_usm_1.2_enhance_False,0.900149,3.48893187,0.666613,0.505
174255,final_v1_usm_0.7_enhance_False,0.904706,3.4511705600000004,0.549498,0.505
174304,final_v1_usm_0.3_enhance_False,0.86031,3.42393055,0.901946,0.505
174332,final_v1_usm_0.1_enhance_False,0.888123,3.42959444,0.814535,0.505
174496,final_v1_usm_1.2_enhance_False,0.864446,3.39391144,0.625394,0.505
174555,final_v1_no_usm_enhance_False,0.843884,3.47304519,0.756504,0.505
174813,final_v1_usm_0.7_enhance_False,0.859605,3.43028492,0.611874,0.505
175018,final_v1_usm_0.1_enhance_False,0.884556,3.4253600300000002,0.720292,0.505
175025,final_v1_usm_0.1_enhance_False,0.863159,3.3916516999999997,0.66467,0.505
175120,final_v1_usm_1.0_enhance_False,0.878756,3.47073228,0.566582,0.505
175563,final_v1_no_usm_enhance_False,0.858191,3.3969890000000005,0.77304,0.505
175784,final_v1_usm_1.0_enhance_False,0.854817,3.3971022700000004,0.887534,0.505
175958,final_v1_usm_1.0_enhance_False,0.90446,3.4613313100000003,0.651636,0.505
175991,final_v1_usm_1.2_enhance_False,0.871583,3.42306237,0.703205,0.505
176715,final_v1_usm_0.1_enhance_False,0.828799,3.37203508,0.670979,0.505
