Group,Best_Combination,Max_Clipiqa,Max_Score_Sum,Similarity,Threshold
00072_00,WebPhoto_v2_prompt_version_3_cfg_scale_9_strength_0.7_steps_75_captioner_none_swindegrad_v2_swindegrad_pt_0010000,0.90057,3.2728091299999997,0.378826,0.3
00073_00,WebPhoto_v2_prompt_version_1_cfg_scale_6_strength_0.8_steps_30_captioner_none_swindegrad_v2_swindegrad_pt_0030000,0.846999,3.26131512,0.33541,0.3
00076_02,WebPhoto_v2_prompt_version_3_cfg_scale_7_strength_0.7_steps_100_captioner_none_swindegrad_v2_swindegrad_pt_0010000,0.878,3.3629201699999998,0.31326,0.3
00081_00,WebPhoto_v2_prompt_version_3_cfg_scale_5_strength_0.6_steps_30_captioner_none_swindegrad_v2_swindegrad_pt_0030000,0.851036,3.2642301,0.319307,0.3
00085_02,WebPhoto_v2_prompt_version_3_cfg_scale_4_strength_0.6_steps_50_captioner_none_swindegrad_v0,0.920523,3.4485367700000005,0.318451,0.3
00086_00,WebPhoto_v2_prompt_version_3_cfg_scale_9_strength_0.6_steps_30_captioner_none_swindegrad_v2_swindegrad_pt_0030000,0.878625,3.2836755799999997,0.38088,0.3
00087_01,WebPhoto_v2_prompt_version_1_cfg_scale_8_strength_0.6_steps_100_captioner_none_swindegrad_v0,0.875677,3.31395763,0.315019,0.3
00090_03,WebPhoto_v2_prompt_version_3_cfg_scale_9_strength_0.7_steps_30_captioner_none_swindegrad_v2_swindegrad_pt_0030000,0.869588,3.32543179,0.387863,0.3
00092_01,WebPhoto_v2_prompt_version_3_cfg_scale_8_strength_0.7_steps_75_captioner_none_swindegrad_v2_swindegrad_pt_0010000,0.890534,3.37324298,0.351916,0.3
00096_02,WebPhoto_v2_prompt_version_3_cfg_scale_7_strength_0.7_steps_30_captioner_none_swindegrad_v0,0.897662,3.39168424,0.567152,0.3
00097_00,WebPhoto_v2_prompt_version_3_cfg_scale_5_strength_0.6_steps_30_captioner_none_swindegrad_v0,0.872806,3.30107968,0.32209,0.3
00097_02,WebPhoto_v2_prompt_version_3_cfg_scale_4_strength_0.6_steps_75_captioner_none_swindegrad_v0,0.901405,3.39946753,0.553307,0.3
00099_00,WebPhoto_v2_prompt_version_3_cfg_scale_9_strength_0.8_steps_50_captioner_none_swindegrad_v2_swindegrad_pt_0030000,0.855654,3.2745558600000004,0.384498,0.3
00100_01,WebPhoto_v2_prompt_version_3_cfg_scale_9_strength_0.8_steps_30_captioner_none_swindegrad_v0,0.931233,3.27315464,0.448711,0.3
00101_00,WebPhoto_v2_prompt_version_1_cfg_scale_6_strength_0.6_steps_50_captioner_none_swindegrad_v0,0.82395,3.1749710999999996,0.302307,0.3
00101_02,WebPhoto_v2_prompt_version_3_cfg_scale_9_strength_1.0_steps_50_captioner_none_swindegrad_v0,0.735081,3.04399311,0.320459,0.3
00102_00,WebPhoto_v2_prompt_version_3_cfg_scale_9_strength_0.7_steps_50_captioner_none_swindegrad_v0,0.849838,3.20149513,0.411199,0.3
00103_00,WebPhoto_v2_prompt_version_1_cfg_scale_8_strength_0.6_steps_50_captioner_none_swindegrad_v2_swindegrad_pt_0030000,0.877969,3.1663904799999996,0.304657,0.3
00105_02,WebPhoto_v2_prompt_version_3_cfg_scale_7_strength_0.6_steps_50_captioner_none_swindegrad_v0,0.844246,3.1253336,0.311116,0.3
00109_02,WebPhoto_v2_prompt_version_3_cfg_scale_9_strength_0.9_steps_50_captioner_none_swindegrad_v0,0.848203,3.20914325,0.576558,0.3
00110_01,WebPhoto_v2_prompt_version_3_cfg_scale_8_strength_0.7_steps_50_captioner_none_swindegrad_v0,0.824536,3.1200360600000003,0.325704,0.3
00111_02,WebPhoto_v2_prompt_version_3_cfg_scale_5_strength_0.6_steps_100_captioner_none_swindegrad_v2_swindegrad_pt_0010000,0.825514,3.15850267,0.339633,0.3
00112_01,WebPhoto_v2_prompt_version_3_cfg_scale_6_strength_0.9_steps_75_captioner_none_swindegrad_v0,0.864892,3.4612438400000003,0.792968,0.3
